1,,,4,5,6,,8,9,10,11,12,13,14,15,16,1,18,19,20,1
219 220,A. M. Lindström A. Pettersson,"Dalskog, Skållerup Skällsäter",Famred Svingån,v,.,18 150,3-fas,50 50,5000/220 7000/220,.,,,,,,,.,.,,219 220
221 222,P. J. Mellin & A. Ran A .- B. Färgelanda el .- verk,Remmalanda Högsäteroch Färgelanda,Häröholm Edstenefors,,7.5,125,L 3-fas,- 50,220 15000/380,,,,,,,,,,,221 222
223,Näsböle el. distr .- fören.,Högsäter och Färgelanda,Ålnäs,,3.9,125,,50,10000/380,,,,,,,,,,,223
224a,Ödeborgs Bruks A .- B.,"Färjelanda, Ödeborg",Dystorp,,8,270,,50,3000/lågsp.,,,,,,,,,,,224a
b,2,Ödeborg,Ödeborg,,,136,L,-,3000/· 220,,,,,,,,,,,
225,Stigens A .- B.,Färgelanda,Ö. och V. Stigens fall,,,495,3-fas,50,1000/110,,,,,,,,,,,225
226,Rådanefors el. and .- fören.,Ödeborg,,2,.,20,,50,380,,,,,,,,,,,
227,Gustavsfors Fabr. A .- B.,Torrskog,Gustavsfors,,"(
3",25,.,.,.,,,,,,,,,,,
228,Kinnaströms Väveri A .- B.,Kinna,Johannesdal,,3.7,73,.,,,,,,,,,,,,,
229,Skepplanda el. distr .- fören.,Skepplanda,Ab. från Trollhätte kraft- verk,,,-,3-fas,25,10000/380,,,,,,,,,,,
